Material Family,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,UNS,Temperature (deg C),pH,Salinity (g/L),Humidity (%)
Phosphor bronze,A (Resistant),A (Resistant),C52100,,7.5,3.5,69.7
Silicon bronze,A (Resistant),A (Resistant),C65500,,6.3,5.9,46.7
Silicon bronze,A (Resistant),A (Resistant),C65100,,7.9,1.4,78.6
Tin brass,A (Resistant),A (Resistant),C44300,,6.6,8.5,52.4
Tin brass,A (Resistant),A (Resistant),C46400,,5.3,0.3,25.5
Titanium and alloys,A (Resistant),A (Resistant),,Room,8.1,1,82.7
Precipitation hardening,A (Resistant),A (Resistant),S36300,Room,6.1,1.2,42.9
Aluminum bronze,B (Good),B (Good),,,6.7,5.3,54.6
Aluminum bronze,0.05 max,2 max,C61300,,7.7,6.2,74.8
Brass,C (Questionable),C (Questionable),,,6.3,4,46.6
Brass,D (Poor),D (Poor),C26000,,5.2,2.9,24.5
Brass,B (Good),B (Good),C22000,,6.5,8.1,49.9
Brass,D (Poor),D (Poor),C28000,,8.8,0.7,95.6
Brass,B (Good),B (Good),C23000,,7.6,2.8,71.3
Copper,B (Good),B (Good),C11000,,7.7,0.4,73.7
Copper,B (Good),B (Good),C12200,,7.5,0.1,70.6
Copper-nickel,B (Good),B (Good),C71500,,5.8,3.5,35.9
Copper-nickel,B (Good),B (Good),C70600,,6.7,1.9,53.5
Leaded brass,D (Poor),D (Poor),C38500,,8,2.7,80.1
Leaded brass,D (Poor),D (Poor),C36000,,5.4,8.2,28.1
Nickel-silver,B (Good),B (Good),,,6.1,1.6,42.2
Phosphor bronze,B (Good),B (Good),C51000,,6.1,7.8,42.1
Phosphor bronze,B (Good),B (Good),C52100,,6.7,6.8,54.6
Silicon bronze,B (Good),B (Good),C65500,,8.9,3.3,98.4
Silicon bronze,B (Good),B (Good),C65100,,5.3,5.5,25.4
Tin brass,C (Questionable),C (Questionable),C44300,,7.1,4.4,61.5
Tin brass,D (Poor),D (Poor),C46400,,5.7,1.3,34.3
Lead and alloys,0.5 max,20 max,L50045,24-100,8.9,9.1,97.7
Noble metals,0.05 max,2 max,P04995,Boiling,5.5,5.7,29.1
Noble metals,0.05 max,2 max,P07010,Boiling,6.6,8.8,52.3
Noble metals,0.05 max,2 max,P07010,Room,8,8.2,79
Nickel-chromium-iron,1.8,71,,845,7.8,0.8,76.4
Nickel-chromium-iron,0.003 max,0.1 max,N08800,80,6.7,2.1,53.8
Nickel-chromium-iron,2.4,96,N06600,845,6.4,1.5,47.7
Nickel-chromium-iron,0.002,0.1,N06601,80,6.6,8.3,51.8
Nickel-chromium-iron-molybdenum,1.1,42,N08825,80,6.1,8.6,41.1
Nickel-chromium-iron-molybdenum,0.97,38,N06002,845,5.8,5.3,36.4
Nickel-chromium-molybdenum,0.1,40,N06635,845,6.9,1,58.6
Cobalt and alloys,0.69,27,R30188,845,6.1,1.4,41.5
Cobalt and alloys,0.11,44,R30556,845,6.1,8.1,43
Cobalt and alloys,0.75,30,R30155,845,7.6,9.3,72.5
Nickel,,,N02200,80,3.9,2,97.5
Titanium and alloys,A (Resistant),A (Resistant),,100,7.4,0.1,68.3
Titanium and alloys,A (Resistant),A (Resistant),,100,5.3,3.3,26.2
Titanium and alloys,A (Resistant),A (Resistant),,100,5.3,0.3,26
Zirconium and alloys,0.025 max,1 max,R60702,35-100,8.8,8.3,96.1
Zirconium and alloys,0.025 max,1 max,R60702,35-100,6.2,4.9,43.8
Zirconium and alloys,0.25 max,10 max,R60702,Boiling,5.4,6.4,27.4
Austenitic,D (Poor),D (Poor),S30100,,7.4,4.1,67.9
Austenitic,D (Poor),D (Poor),S30200,,7.5,3.5,69.9
Austenitic,D (Poor),D (Poor),S30300,,7.6,2.2,71.9
Austenitic,D (Poor),D (Poor),S30300,,6.1,7.7,41.4
Austenitic,B (Good),B (Good),S30400,21,5.1,7,21.2
Austenitic,D (Poor),D (Poor),S30400,,8.9,3.6,97.2
Austenitic,0.003 max,0.1 max,S30400,100,6,3.2,40.1
Austenitic,0.003 max,0.1 max,S30400,Room,7.7,0,74.1
Austenitic,6.3,250,S30400,80,7.8,0.6,76.5
Austenitic,1.9,75,S30400,845,7.4,6.2,68.8
Austenitic,2,79,S31000,845,6.3,5.1,45
Austenitic,B (Good),B (Good),S31600,21,6.1,4.3,41.7
Austenitic,D (Poor),D (Poor),S31600,,7.4,8.3,67.8
Austenitic,1.3,52,S31600,35,8.5,5,89.3
Austenitic,4,160,S31600,80,8.8,3.8,95.7
Austenitic,D (Poor),D (Poor),S32100,,5.4,1.6,28.5
Austenitic,D (Poor),D (Poor),S34700,,5.6,8.2,32.4
Austenitic,D (Poor),D (Poor),S31653,,8.8,5.8,95.6
Austenitic,D (Poor),D (Poor),S31635,,7.9,0.9,78.9
Austenitic,D (Poor),D (Poor),S31703,,8.5,6.5,90.6
Austenitic,D (Poor),D (Poor),S31725,,5.8,4.3,36.2
Duplex,D (Poor),D (Poor),S32900,,7.4,8.1,67
Duplex,D (Poor),D (Poor),S31803,,7.8,9.2,76.1
Ferritic,D (Poor),D (Poor),S40500,,7.7,6,74.4
Ferritic,D (Poor),D (Poor),S40900,,6.6,7.3,52.7
Ferritic,B (Good),B (Good),S43000,21,5.1,0.6,21.2
Ferritic,D (Poor),D (Poor),S43000,,7.3,5.6,66.6
Ferritic,D (Poor),D (Poor),S43400,,6,7.6,40.2
Martensitic,D (Poor),D (Poor),S40300,,6.8,5,56
Martensitic,B (Good),B (Good),S41000,Room,8.8,5.9,96.6
Martensitic,C (Questionable),C (Questionable),S41000,21,6.6,9,51.9
Martensitic,D (Poor),D (Poor),S41000,,8.4,2,87.2
Martensitic,D (Poor),D (Poor),S41600,,5.8,1,35.1
Martensitic,D (Poor),D (Poor),S42000,,7.7,6.9,73.8
Austenitic,A (Resistant),A (Resistant),S30100,20,8.9,8.2,98.2
Austenitic,B (Good),B (Good),S30100,Boiling,5.4,8.5,28.2
Austenitic,A (Resistant),A (Resistant),S30200,20,5,6.4,20.7
Austenitic,B (Good),B (Good),S30200,Boiling,6.7,8.3,54.7
Austenitic,A (Resistant),A (Resistant),S30300,20,5.4,7,27.4
Austenitic,A (Resistant),A (Resistant),S30300,20,8,0.9,79.9
Austenitic,C (Questionable),C (Questionable),S30300,Boiling,8.7,7.6,93.2
Austenitic,B (Good),B (Good),S30300,Boiling,6.7,1.8,54.7
Austenitic,A (Resistant),A (Resistant),S30400,20,6,2.4,40.7
Austenitic,B (Good),B (Good),S30400,Boiling,6.7,3.9,54.8
Austenitic,A (Resistant),A (Resistant),S31600,20,7.9,3.1,77.9
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,5,3.2,20.7
Austenitic,A (Resistant),A (Resistant),S32100,20,7.4,1.7,67.2
Austenitic,B (Good),B (Good),S32100,Boiling,7.5,2.9,69.1
Austenitic,A (Resistant),A (Resistant),S34700,20,7.6,0.2,71
Austenitic,B (Good),B (Good),S34700,Boiling,6,4.7,39.4
Austenitic,A (Resistant),A (Resistant),S30403,20,7.9,7.7,77.1
Austenitic,B (Good),B (Good),S30403,Boiling,5.4,8.6,27.3
Austenitic,A (Resistant),A (Resistant),S30453,20,5.8,8.2,35.9
Austenitic,B (Good),B (Good),S30453,Boiling,8.5,4.2,90.2
Austenitic,A (Resistant),A (Resistant),S31620,20,8,7.3,79.1
Austenitic,B (Good),B (Good),S31620,Boiling,5.1,2.9,21.1
Austenitic,A (Resistant),A (Resistant),S31603,20,6,0.6,39.9
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,5.9,6.8,37.2
Austenitic,A (Resistant),A (Resistant),S31653,20,6.1,6.5,41.7
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,6,8,39.8
Austenitic,A (Resistant),A (Resistant),S31635,20,5.3,6.2,25
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,6.8,1.6,56.7
Austenitic,A (Resistant),A (Resistant),S31703,20,7.9,8.5,78.6
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,7.4,6.3,68.5
Austenitic,A (Resistant),A (Resistant),S31725,20,7.7,8.1,73.8
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,5.3,7.7,26.5
Duplex,A (Resistant),A (Resistant),S32900,20,8.8,3,96.1
Duplex,A (Resistant),A (Resistant),S32900,Boiling,8.4,0.7,87.1
Duplex,A (Resistant),A (Resistant),S31803,20,8.2,1.8,84.4
Duplex,A (Resistant),A (Resistant),S31803,Boiling,8.3,0.9,85.8
Ferritic,B (Good),B (Good),S40500,20,8.7,2.4,94.6
Ferritic,C (Questionable),C (Questionable),S40500,Boiling,7.2,4.6,63.5
Ferritic,B (Good),B (Good),S40900,20,5.8,9.1,36
Ferritic,C (Questionable),C (Questionable),S40900,Boiling,7.5,8.7,69.3
Ferritic,A (Resistant),A (Resistant),S43000,20,8,7.2,79.4
Ferritic,C (Questionable),C (Questionable),S43000,Boiling,8,0.2,79
Ferritic,A (Resistant),A (Resistant),S43400,20,7.1,3.4,61.7
Ferritic,B (Good),B (Good),S43400,Boiling,5.3,6.8,25.5
Martensitic,B (Good),B (Good),S40300,20,6.5,1.3,49.7
Martensitic,C (Questionable),C (Questionable),S40300,Boiling,8.7,8,93.7
Martensitic,B (Good),B (Good),S41000,20,7.3,9.1,66.8
Martensitic,C (Questionable),C (Questionable),S41000,Boiling,7.2,3.5,63.1
Martensitic,B (Good),B (Good),S41600,20,6.1,7.1,41.5
Martensitic,C (Questionable),C (Questionable),S41600,Boiling,6.5,1.5,49.5
Martensitic,B (Good),B (Good),S42000,20,8.6,6.9,91.6
Martensitic,C (Questionable),C (Questionable),S42000,Boiling,7.7,0.2,73.3
99.0% min Al,C (Questionable),C (Questionable),A91350,,8.1,1.5,83
Aluminum bronze,A (Resistant),A (Resistant),,,6.8,7.1,56.3
Brass,A (Resistant),A (Resistant),,,7.5,7.1,70.4
Brass,B (Good),B (Good),C26000,,6,6.4,39.9
Brass,A (Resistant),A (Resistant),C22000,,7.8,4.8,76.4
Brass,B (Good),B (Good),C28000,,6.7,6.7,54.2
Brass,A (Resistant),A (Resistant),C23000,,6.8,7.7,55.4
Copper,A (Resistant),A (Resistant),C11000,,7.6,9.7,71.9
Copper,A (Resistant),A (Resistant),C12200,,8.7,8.9,94.9
Copper-nickel,A (Resistant),A (Resistant),C71500,,5.3,7.9,25.1
Copper-nickel,A (Resistant),A (Resistant),C70600,,8.3,6.9,86
Leaded brass,B (Good),B (Good),C38500,,6.2,5.7,43.4
Leaded brass,B (Good),B (Good),C36000,,6.8,1.2,55.5
Nickel-silver,A (Resistant),A (Resistant),,,5.1,1.7,21.8
Phosphor bronze,A (Resistant),A (Resistant),C51000,,6.2,8.2,44.1
Phosphor bronze,A (Resistant),A (Resistant),C52100,,7,8,60.2
Silicon bronze,A (Resistant),A (Resistant),C65500,,5.2,6.1,24.5
Silicon bronze,A (Resistant),A (Resistant),C65100,,7,4.4,59.3
Tin brass,A (Resistant),A (Resistant),C44300,,8.7,0.3,94.2
Tin brass,B (Good),B (Good),C46400,,5.4,3.3,28.4
Titanium and alloys,A (Resistant),A (Resistant),,Room,8.1,4.2,81.2
Austenitic,A (Resistant),A (Resistant),S30100,20,6.6,4.9,52.8
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,7.6,9.3,72.4
Austenitic,A (Resistant),A (Resistant),S30200,20,6,1.1,40.8
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,5.6,5.2,32.8
Austenitic,A (Resistant),A (Resistant),S30300,20,5.6,3.7,32.8
Austenitic,A (Resistant),A (Resistant),S30300,20,5.3,9.9,25.6
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,5.7,8.6,34.9
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,7.7,4.4,73.1
Austenitic,A (Resistant),A (Resistant),S30400,20,8.5,10,90.5
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,8.3,5.1,85.1
Austenitic,A (Resistant),A (Resistant),S31600,20,7.7,1.7,74.8
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,5.4,5.6,28.8
Austenitic,A (Resistant),A (Resistant),S32100,20,6.2,2.3,43.1
Austenitic,A (Resistant),A (Resistant),S32100,Boiling,6.2,6.4,44.8
Austenitic,A (Resistant),A (Resistant),S34700,20,6,9.4,40
Austenitic,A (Resistant),A (Resistant),S34700,Boiling,7.1,7.9,61.2
Austenitic,A (Resistant),A (Resistant),S30403,20,7.1,2.7,62.8
Austenitic,A (Resistant),A (Resistant),S30403,Boiling,6.4,3,48.6
Austenitic,A (Resistant),A (Resistant),S30453,20,6.4,0.7,48.3
Austenitic,A (Resistant),A (Resistant),S30453,Boiling,8.3,2.9,86.3
Austenitic,A (Resistant),A (Resistant),S31620,20,8.2,0.9,83.1
Austenitic,A (Resistant),A (Resistant),S31620,Boiling,6.2,5,44.6
Austenitic,A (Resistant),A (Resistant),S31603,20,8.7,7.1,93.1
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,8.8,7.5,96.2
Austenitic,A (Resistant),A (Resistant),S31653,20,6.3,0.6,46.1
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,6.4,3.4,48.4
Austenitic,A (Resistant),A (Resistant),S31635,20,7,2.9,60.5
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,8.8,1,95.3
Austenitic,A (Resistant),A (Resistant),S31703,20,8.5,3.6,90.1
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,5.4,3,28.2
Austenitic,A (Resistant),A (Resistant),S31725,20,6.6,6.3,51.4
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,7.2,8.8,64.3
Duplex,A (Resistant),A (Resistant),S32900,20,7,4.5,60.3
Duplex,A (Resistant),A (Resistant),S32900,Boiling,5.8,7.5,35.5
Austenitic,A (Resistant),A (Resistant),S31603,20,8.4,1.5,88.7
Duplex,A (Resistant),A (Resistant),S31803,20,7.7,8.9,74.2
Duplex,A (Resistant),A (Resistant),S31803,Boiling,8.4,1.5,87
Ferritic,A (Resistant),A (Resistant),S40500,20,8.4,1.9,88.7
Ferritic,A (Resistant),A (Resistant),S40500,Boiling,8,1.1,79.9
Ferritic,A (Resistant),A (Resistant),S40900,20,6.8,3.1,55.1
Ferritic,A (Resistant),A (Resistant),S40900,Boiling,7.4,5.5,68.8
Ferritic,A (Resistant),A (Resistant),S43000,20,5.6,9.9,32.8
Ferritic,A (Resistant),A (Resistant),S43000,Boiling,7.7,7.9,73.9
Ferritic,A (Resistant),A (Resistant),S43400,20,5.7,3.8,34.3
Ferritic,A (Resistant),A (Resistant),S43400,Boiling,7.8,5.8,75.5
Martensitic,A (Resistant),A (Resistant),S40300,20,5.9,6.2,38.4
Martensitic,A (Resistant),A (Resistant),S40300,Boiling,5.5,8.2,29.4
Martensitic,A (Resistant),A (Resistant),S41000,20,5.7,7.4,33.2
Martensitic,A (Resistant),A (Resistant),S41000,Boiling,5,5.7,20.2
Martensitic,A (Resistant),A (Resistant),S41600,20,7.9,6.7,77.5
Martensitic,A (Resistant),A (Resistant),S41600,Boiling,7.9,7.5,78.6
Martensitic,A (Resistant),A (Resistant),S42000,20,7.1,1.3,61.2
Martensitic,A (Resistant),A (Resistant),S42000,Boiling,5.6,2,32.9
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,5.3,6.9,26.7
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,5.1,8.5,21.5
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,5.7,4.1,33.3
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,8.6,9.8,91.3
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,6,2.2,39.3
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,6.4,4.2,48.3
Austenitic,A (Resistant),A (Resistant),S32100,Boiling,5.4,3.8,28.4
Austenitic,A (Resistant),A (Resistant),S34700,Boiling,5.9,9.3,37.8
Austenitic,A (Resistant),A (Resistant),S30403,Boiling,7.1,2.9,61.5
Austenitic,A (Resistant),A (Resistant),S30453,Boiling,7.4,4.7,68.6
Austenitic,A (Resistant),A (Resistant),S31620,Boiling,6,1.9,39.6
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,5.2,5.2,24.6
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,6.6,8.6,51.3
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,5.9,3,38.7
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,5.9,8.1,37.6
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,8.8,9.1,96.8
Duplex,A (Resistant),A (Resistant),S32900,Boiling,7.5,0.7,69.3
Duplex,A (Resistant),A (Resistant),S31803,Boiling,7.2,7.6,64.6
Ferritic,A (Resistant),A (Resistant),S40500,Boiling,6.7,2.6,53.3
Ferritic,A (Resistant),A (Resistant),S40900,Boiling,6.7,1.8,54.3
Ferritic,A (Resistant),A (Resistant),S43000,Boiling,7.2,6,63.3
Ferritic,A (Resistant),A (Resistant),S43400,Boiling,7.8,7.1,75.7
Martensitic,A (Resistant),A (Resistant),S40300,Boiling,7.8,3.9,76.2
Martensitic,A (Resistant),A (Resistant),S41000,Boiling,5.7,0.4,33.7
Martensitic,A (Resistant),A (Resistant),S41600,Boiling,7,9.1,60
Martensitic,A (Resistant),A (Resistant),S42000,Boiling,6.6,7.3,53
99.0% min Al,A (Resistant),A (Resistant),A91199,,8.5,2.7,89.6
Aluminum-manganese,A (Resistant),A (Resistant),,,7.5,5,70.5
Aluminum bronze,A (Resistant),A (Resistant),,,7.1,0.3,62.6
Aluminum bronze,0.05 max,2 max,C61300,,5.5,3.4,29.2
Brass,A (Resistant),A (Resistant),,,7.4,5.2,68.5
Brass,A (Resistant),A (Resistant),C26000,,5.5,5.2,29.4
Brass,A (Resistant),A (Resistant),C22000,,6.3,2.1,47
Brass,A (Resistant),A (Resistant),C28000,,5.6,7.8,31.4
Brass,A (Resistant),A (Resistant),C23000,,7.8,3,75.4
Copper,A (Resistant),A (Resistant),C11000,,5.8,5.8,36.5
Copper,A (Resistant),A (Resistant),C12200,,6.6,2.7,51.3
Copper-nickel,A (Resistant),A (Resistant),C71500,,8.6,4.3,91.7
Copper-nickel,A (Resistant),A (Resistant),C70600,,5.8,2.1,36.3
Leaded brass,A (Resistant),A (Resistant),C38500,,7,6.3,60.6
Leaded brass,A (Resistant),A (Resistant),C36000,,6.7,4.3,53.5
Nickel-silver,A (Resistant),A (Resistant),,,5.1,0.2,21.4
Phosphor bronze,A (Resistant),A (Resistant),C51000,,8.2,0.3,83.4
Phosphor bronze,A (Resistant),A (Resistant),C52100,,5.3,4.7,25.5
Silicon bronze,A (Resistant),A (Resistant),C65500,,6.9,1.8,57.9
Silicon bronze,A (Resistant),A (Resistant),C65100,,7.2,5.9,64.9
Tin brass,A (Resistant),A (Resistant),C44300,,7.5,4.1,70.3
Tin brass,A (Resistant),A (Resistant),C46400,,7.8,6.5,75.1
Lead and alloys,0.5 max,20 max,L50045,24,6,9.5,40.3
Noble metals,0.05 max,2 max,P04995,Boiling,5,5.3,20.8
Noble metals,0.05 max,2 max,P07010,Boiling,7.9,7.9,77.9
Titanium and alloys,A (Resistant),A (Resistant),,Room,7.1,7.5,62.9
Titanium and alloys,0.005,0.2,,80,8.3,9.2,86.9
Titanium and alloys,0.005,0.2,,80,8.3,2.1,85.7
Titanium and alloys,0.005,0.2,,80,8.4,8.3,87.5
Titanium and alloys,0.005,0.2,,80,6.9,9.1,58.8
Titanium and alloys,0.025,1,,50,6.3,3.9,46.7
Austenitic,0.03,1.2,S30400,93-104,8.2,3.1,83.3
Austenitic,12,470,S30400,185,6.8,9.5,56.1
Austenitic,11,430,S30400,185,5.7,6.3,34.7
Austenitic,1.7,67,S30400,50-60,8.4,3.8,88.4
Austenitic,0.003 max,0.1 max,S30400,21,8.5,7.9,90.6
Austenitic,0.003,0.1,S30400,77,6.9,3,57.3
Austenitic,0.003,0.1,S30400,77,5.3,1.8,26.1
Austenitic,0.048,1.9,S30400,104,6.6,5.4,51
Austenitic,0.053,2.1,S30400,104,8.2,5.7,84.3
Austenitic,0.018,0.7,S31600,93-104,8.6,8.3,92.1
Austenitic,0.53,21,S31600,26,5.8,4.6,36.3
Austenitic,0.13,5.1,S31600,26,5.3,8.1,25.4
Austenitic,D (Poor),D (Poor),S31600,50-60,8.5,3.1,90.2
Austenitic,0.003,0.1,S31600,21,6.6,5.8,51.2
Austenitic,1.9,77,S31700,185,7.2,2.1,63.3
Austenitic,1.8,73,S31700,185,8.9,3.9,97.4
Martensitic,A (Resistant),A (Resistant),S42000,20,5.3,8.6,25.3
Austenitic,0.028,1.1,S31700,104,7.6,2.2,71.9
Austenitic,0.025,1,S31700,104,5.3,8.1,25.9
Austenitic,0.35,14,,26,6.5,2.8,50
Austenitic,1.4,54,,26,8.2,0.3,84.3
99.0% min Al,A (Resistant),A (Resistant),A91350,,2,1.1,54.7
99.0% min Al,A (Resistant),A (Resistant),A91350,,4,7.5,99.8
Aluminum-manganese,A (Resistant),A (Resistant),,,2.5,2.6,64.7
Aluminum bronze,A (Resistant),A (Resistant),,,1.6,6.5,45.7
Brass,A (Resistant),A (Resistant),,,1.3,7,37.6
Brass,B (Good),B (Good),C26000,,1.7,3.5,48
Brass,A (Resistant),A (Resistant),C22000,,1.8,4.7,49.8
Brass,B (Good),B (Good),C28000,,0.7,4,25.5
Brass,A (Resistant),A (Resistant),C23000,,1.8,9.5,49.6
Copper,A (Resistant),A (Resistant),C11000,,2.1,3.2,57.1
Copper,A (Resistant),A (Resistant),C12200,,3,1.8,77.8
Copper-nickel,A (Resistant),A (Resistant),C71500,,2.8,3.7,72.5
Copper-nickel,A (Resistant),A (Resistant),C70600,,3,6.7,76.7
Leaded brass,B (Good),B (Good),C38500,,0.5,7,20.7
Leaded brass,B (Good),B (Good),C36000,,1.3,9.2,37.4
Nickel-silver,A (Resistant),A (Resistant),,,2.8,8.8,72.9
Phosphor bronze,A (Resistant),A (Resistant),C51000,,2.2,2.9,58.7
Phosphor bronze,A (Resistant),A (Resistant),C52100,,0.5,4.6,20.4
Silicon bronze,A (Resistant),A (Resistant),C65500,,3.3,7.5,84.4
Silicon bronze,A (Resistant),A (Resistant),C65100,,3.2,9.2,81.8
Tin brass,A (Resistant),A (Resistant),C44300,,2.4,3.4,63.9
Tin brass,B (Good),B (Good),C46400,,0.7,4.4,25.3
Lead and alloys,1.3 min,50 min,L50045,24,3.2,9,81.3
Noble metals,0.05 max,2 max,P07010,130,2.5,3.6,66.7
Tin and alloys,A (Resistant),A (Resistant),,20,3.2,4.8,82.6
Tin and alloys,D (Poor),D (Poor),,60,3.1,9,80.1
Tin and alloys,D (Poor),D (Poor),,100,3.3,8,84.2
Titanium and alloys,A (Resistant),A (Resistant),,Room,2.3,2.4,61.4
Austenitic,A (Resistant),A (Resistant),S30100,20,1,3.2,31.2
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,2.8,3.5,73.7
Austenitic,A (Resistant),A (Resistant),S30200,20,2.7,9.1,69.6
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,3.1,10,79.4
Austenitic,A (Resistant),A (Resistant),S30300,20,1.1,7.7,33.6
Austenitic,A (Resistant),A (Resistant),S30300,20,1.2,4.8,35.6
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,3.6,0.1,91.2
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,3.1,7,80
Austenitic,0.38,15,S30400,138,3.7,3.9,92.7
Austenitic,B (Good),B (Good),S30400,21,3.2,6.3,80.7
Austenitic,A (Resistant),A (Resistant),S30400,20,2.6,6.1,67.8
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,2.8,4.8,72.3
Austenitic,0.13,5,S31600,138,3.6,9.4,91.1
Austenitic,B (Good),B (Good),S31600,21,2.5,0.2,66.3
Austenitic,A (Resistant),A (Resistant),S31600,20,2.7,7.1,70.6
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,1,4.1,32.5
Austenitic,A (Resistant),A (Resistant),S32100,20,2.2,7.1,57.9
Austenitic,A (Resistant),A (Resistant),S32100,Boiling,3,6.8,77.3
Austenitic,A (Resistant),A (Resistant),S34700,20,1.4,0.1,41.7
Austenitic,A (Resistant),A (Resistant),S34700,Boiling,1.2,2.9,36.2
Austenitic,A (Resistant),A (Resistant),S30403,20,1.6,1.9,45.1
Austenitic,A (Resistant),A (Resistant),S30403,Boiling,1.3,1.7,39.3
Austenitic,A (Resistant),A (Resistant),S30453,20,1.3,7.3,37.2
Austenitic,A (Resistant),A (Resistant),S30453,Boiling,2,2.4,54
Austenitic,A (Resistant),A (Resistant),S31620,20,3.7,4.7,92.6
Austenitic,A (Resistant),A (Resistant),S31620,Boiling,2.3,2.5,60.6
Austenitic,A (Resistant),A (Resistant),S31603,20,1.2,5.8,35
Austenitic,A (Resistant),A (Resistant),S31603,Boiling,0.8,7.2,26.2
Austenitic,A (Resistant),A (Resistant),S31653,20,2.9,3.3,75.7
Austenitic,A (Resistant),A (Resistant),S31653,Boiling,1.8,6,50.6
Austenitic,A (Resistant),A (Resistant),S31635,20,3.4,8.2,85.7
Austenitic,A (Resistant),A (Resistant),S31635,Boiling,2.8,0.9,72.8
Austenitic,A (Resistant),A (Resistant),S31703,20,3.3,7.1,83.7
Austenitic,A (Resistant),A (Resistant),S31703,Boiling,1.5,3.2,41.8
Austenitic,A (Resistant),A (Resistant),S31725,20,2.9,1.2,75.4
Austenitic,A (Resistant),A (Resistant),S31725,Boiling,1.4,5.5,41.1
Duplex,A (Resistant),A (Resistant),S32900,20,3.8,2.3,95.1
Duplex,A (Resistant),A (Resistant),S32900,Boiling,2.7,8.2,70.9
Duplex,A (Resistant),A (Resistant),S31803,20,1.6,0.4,46
Duplex,A (Resistant),A (Resistant),S31803,Boiling,1.4,1,41.6
Ferritic,B (Good),B (Good),S43000,21,1.2,5.2,35.3
Ferritic,A (Resistant),A (Resistant),S43000,20,2.9,5.9,75.6
Ferritic,A (Resistant),A (Resistant),S43000,Boiling,1.3,7.3,37.5
Ferritic,A (Resistant),A (Resistant),S43400,20,2.6,2.6,67.6
Ferritic,A (Resistant),A (Resistant),S43400,Boiling,1.4,8.4,41.2
Martensitic,B (Good),B (Good),S41000,21,2.8,9.5,73
Martensitic,A (Resistant),A (Resistant),S41000,Room,3.4,5,85.2
Austenitic,A (Resistant),A (Resistant),S30100,20,8.1,7.6,82.2
Austenitic,A (Resistant),A (Resistant),S30100,Boiling,8,5.2,80.9
Austenitic,A (Resistant),A (Resistant),S30200,20,5.8,0.7,35
Austenitic,A (Resistant),A (Resistant),S30200,Boiling,5.4,3.3,27.1
Austenitic,A (Resistant),A (Resistant),S30300,20,7.8,0.9,75.9
Austenitic,A (Resistant),A (Resistant),S30300,20,6.5,9.9,49.5
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,6.7,2.3,54.6
Austenitic,A (Resistant),A (Resistant),S30300,Boiling,5.1,6.4,22.5
Austenitic,A (Resistant),A (Resistant),S30400,20,6,2.8,40.8
Austenitic,A (Resistant),A (Resistant),S30400,Boiling,5.1,6.5,22.7
Austenitic,A (Resistant),A (Resistant),S31600,20,8.5,2.1,90.3
Austenitic,A (Resistant),A (Resistant),S31600,Boiling,6,7.9,39.5
Austenitic,A (Resistant),A (Resistant),S32100,20,7.2,1.1,64.6
Austenitic,A (Resistant),A (Resistant),S32100,Boiling,5.2,9,23.1
Austenitic,A (Resistant),A (Resistant),S34700,20,7.7,8.4,73.3
Austenitic,A (Resistant),A (Resistant),S34700,Boiling,6.3,6.8,45.8
Austenitic,A (Resistant),A (Resistant),S30403,20,8.6,0.7,91.8
Austenitic,A (Resistant),A (Resistant),S30403,Boiling,8.6,2.1,91
